Rank,Repo,URL,Stars,License,Last Push,Category,In OSS-Fuzz? (verify),OpenSSF Scorecard (verify),Best Practices badge (verify),Notes
81,skyscreamer/JSONassert,https://github.com/skyscreamer/JSONassert,"1,055",Apache-2.0,2024-07-28,Serialization,,,,
82,yahoo/elide,https://github.com/yahoo/elide,"1,022",NOASSERTION,2026-05-18,Data/DB-client,,,,
83,neoremind/fluent-validator,https://github.com/neoremind/fluent-validator,"1,020",Apache-2.0,2022-12-16,Validation,,,,
84,esig/dss,https://github.com/esig/dss,997,LGPL-2.1,2026-04-18,Security/Auth,,,,
85,dom4j/dom4j,https://github.com/dom4j/dom4j,952,NOASSERTION,2025-07-02,Parser/Format,,,,
86,OWASP/java-html-sanitizer,https://github.com/OWASP/java-html-sanitizer,942,NOASSERTION,2026-03-13,Security/Auth,,,,
87,uniVocity/univocity-parsers,https://github.com/uniVocity/univocity-parsers,934,—,2024-08-17,Parser/Format,,,,
88,everit-org/json-schema,https://github.com/everit-org/json-schema,901,Apache-2.0,2025-08-01,Validation,,,,
89,amazon-ion/ion-java,https://github.com/amazon-ion/ion-java,879,Apache-2.0,2026-05-01,Serialization,,,,
90,swagger-api/swagger-parser,https://github.com/swagger-api/swagger-parser,859,Apache-2.0,2026-06-02,Parser/Format,,,,
91,making/yavi,https://github.com/making/yavi,846,Apache-2.0,2026-01-26,Validation,,,,
92,ical4j/ical4j,https://github.com/ical4j/ical4j,836,BSD-3-Clause,2026-06-06,Parser/Format,,,,
93,ralfstx/minimal-json,https://github.com/ralfstx/minimal-json,743,MIT,2023-11-15,Serialization,,,,
94,schibsted/jslt,https://github.com/schibsted/jslt,695,Apache-2.0,2025-06-29,Parser/Format,,,,
95,forge/roaster,https://github.com/forge/roaster,688,NOASSERTION,2026-06-08,Codegen/Build,,,,
96,osiegmar/FastCSV,https://github.com/osiegmar/FastCSV,679,MIT,2026-06-08,Parser/Format,,,,
97,EsotericSoftware/yamlbeans,https://github.com/EsotericSoftware/yamlbeans,567,MIT,2025-06-05,Serialization,,,,
98,palantir/conjure,https://github.com/palantir/conjure,478,Apache-2.0,2026-06-10,HTTP/Client,,,,
99,apache/commons-csv,https://github.com/apache/commons-csv,409,Apache-2.0,2026-06-07,Parser/Format,,,,
100,apache/commons-validator,https://github.com/apache/commons-validator,226,Apache-2.0,2026-06-07,Validation,,,,
