rank,full_name,html_url,clone_url,default_branch,stars,forks,open_issues,pushed_at,license,category,description
"63","standard-webhooks/standard-webhooks","https://github.com/standard-webhooks/standard-webhooks","https://github.com/standard-webhooks/standard-webhooks.git","","1689","","","2026-05-26T00:00:00Z","Apache-2.0","Security/Auth","Security/Auth"
"64","bazaarvoice/jolt","https://github.com/bazaarvoice/jolt","https://github.com/bazaarvoice/jolt.git","","1671","","","2026-04-27T00:00:00Z","Apache-2.0","Serialization","Serialization"
"65","liaochong/myexcel","https://github.com/liaochong/myexcel","https://github.com/liaochong/myexcel.git","","1655","","","2024-11-14T00:00:00Z","Apache-2.0","Parser/Format","Parser/Format"
"66","java-json-tools/json-schema-validator","https://github.com/java-json-tools/json-schema-validator","https://github.com/java-json-tools/json-schema-validator.git","","1642","","","2024-07-17T00:00:00Z","NOASSERTION","Serialization","Serialization"
"67","RuedigerMoeller/fast-serialization","https://github.com/RuedigerMoeller/fast-serialization","https://github.com/RuedigerMoeller/fast-serialization.git","","1595","","","2023-06-30T00:00:00Z","Apache-2.0","Serialization","Serialization"
"68","json-iterator/java","https://github.com/json-iterator/java","https://github.com/json-iterator/java.git","","1566","","","2024-02-19T00:00:00Z","MIT","Serialization","Serialization"
"69","java-diff-utils/java-diff-utils","https://github.com/java-diff-utils/java-diff-utils","https://github.com/java-diff-utils/java-diff-utils.git","","1533","","","2026-05-16T00:00:00Z","Apache-2.0","Util/Infra","Util/Infra"
"70","apache/httpcomponents-client","https://github.com/apache/httpcomponents-client","https://github.com/apache/httpcomponents-client.git","","1530","","","2026-06-02T00:00:00Z","Apache-2.0","HTTP/Client","HTTP/Client"
"71","googleapis/google-http-java-client","https://github.com/googleapis/google-http-java-client","https://github.com/googleapis/google-http-java-client.git","","1437","","","2026-06-01T00:00:00Z","Apache-2.0","HTTP/Client","HTTP/Client"
"72","opensagres/xdocreport","https://github.com/opensagres/xdocreport","https://github.com/opensagres/xdocreport.git","","1298","","","2026-04-25T00:00:00Z","","Parser/Format","Parser/Format"
"73","sirthias/pegdown","https://github.com/sirthias/pegdown","https://github.com/sirthias/pegdown.git","","1290","","","2016-12-14T00:00:00Z","Apache-2.0","Template/Text","Template/Text"
"74","javacc/javacc","https://github.com/javacc/javacc","https://github.com/javacc/javacc.git","","1277","","","2025-06-24T00:00:00Z","BSD-3-Clause","Parser/Format","Parser/Format"
"75","hibernate/hibernate-validator","https://github.com/hibernate/hibernate-validator","https://github.com/hibernate/hibernate-validator.git","","1266","","","2026-06-09T00:00:00Z","Apache-2.0","Validation","Validation"
"76","vojtechhabarta/typescript-generator","https://github.com/vojtechhabarta/typescript-generator","https://github.com/vojtechhabarta/typescript-generator.git","","1213","","","2026-06-02T00:00:00Z","MIT","Codegen/Build","Codegen/Build"
"77","jmrozanec/cron-utils","https://github.com/jmrozanec/cron-utils","https://github.com/jmrozanec/cron-utils.git","","1210","","","2025-12-01T00:00:00Z","Apache-2.0","Parser/Format","Parser/Format"
"78","briandilley/jsonrpc4j","https://github.com/briandilley/jsonrpc4j","https://github.com/briandilley/jsonrpc4j.git","","1111","","","2025-11-24T00:00:00Z","MIT","HTTP/Client","HTTP/Client"
"79","ngs-doo/dsl-json","https://github.com/ngs-doo/dsl-json","https://github.com/ngs-doo/dsl-json.git","","1061","","","2024-12-03T00:00:00Z","BSD-3-Clause","Serialization","Serialization"
"80","networknt/json-schema-validator","https://github.com/networknt/json-schema-validator","https://github.com/networknt/json-schema-validator.git","","1055","","","2026-06-09T00:00:00Z","Apache-2.0","Serialization","Serialization"
"81","skyscreamer/JSONassert","https://github.com/skyscreamer/JSONassert","https://github.com/skyscreamer/JSONassert.git","","1055","","","2024-07-28T00:00:00Z","Apache-2.0","Serialization","Serialization"
"82","yahoo/elide","https://github.com/yahoo/elide","https://github.com/yahoo/elide.git","","1022","","","2026-05-18T00:00:00Z","NOASSERTION","Data/DB-client","Data/DB-client"
"83","neoremind/fluent-validator","https://github.com/neoremind/fluent-validator","https://github.com/neoremind/fluent-validator.git","","1020","","","2022-12-16T00:00:00Z","Apache-2.0","Validation","Validation"
"84","esig/dss","https://github.com/esig/dss","https://github.com/esig/dss.git","","997","","","2026-04-18T00:00:00Z","LGPL-2.1","Security/Auth","Security/Auth"
"85","dom4j/dom4j","https://github.com/dom4j/dom4j","https://github.com/dom4j/dom4j.git","","952","","","2025-07-02T00:00:00Z","NOASSERTION","Parser/Format","Parser/Format"
"86","OWASP/java-html-sanitizer","https://github.com/OWASP/java-html-sanitizer","https://github.com/OWASP/java-html-sanitizer.git","","942","","","2026-03-13T00:00:00Z","NOASSERTION","Security/Auth","Security/Auth"
"87","uniVocity/univocity-parsers","https://github.com/uniVocity/univocity-parsers","https://github.com/uniVocity/univocity-parsers.git","","934","","","2024-08-17T00:00:00Z","","Parser/Format","Parser/Format"
"88","everit-org/json-schema","https://github.com/everit-org/json-schema","https://github.com/everit-org/json-schema.git","","901","","","2025-08-01T00:00:00Z","Apache-2.0","Validation","Validation"
"89","amazon-ion/ion-java","https://github.com/amazon-ion/ion-java","https://github.com/amazon-ion/ion-java.git","","879","","","2026-05-01T00:00:00Z","Apache-2.0","Serialization","Serialization"
